action	reward
0	1.5752073596631015
2	0.0
0	0.0
2	0.90200296540284
2	0.0
1	0.5080362012236993
1	0.0
2	0.0
1	0.7799326730626841
1	0.6570798251454656
0	0.0
2	0.9666168669576152
1	0.0
1	0.020078936691635185
0	1.335632982562833
2	0.11150411872515975
0	0.10756957074907936
0	0.0
0	0.1589386196604673
1	0.0
2	0.0
0	0.5601985185318482
1	1.209055243938891
2	0.38505261354622977
2	0.0
2	0.6671267327331588
0	0.6670453585580773
1	0.41164466428589863
2	0.3410555597662016
1	0.013347826341798319
1	0.0
2	0.0
0	0.5967420435358319
2	0.9730494543044299
0	0.2156179557057849
1	1.2707881087452197
1	1.4444186646277355
1	0.16605827930314332
0	0.0
1	0.002702397308337545
2	0.0
1	0.0
2	0.3916451160563529
2	0.15866951513241856
2	0.16678516359841766
1	0.6764514811772835
2	0.8801076163459768
2	0.0
0	0.6950179304961165
2	0.0
0	0.8487731900493642
2	0.0
1	0.3448357516624748
1	0.5434324022856712
2	0.33432486355970414
2	0.0
1	1.2240710004607211
1	0.0
2	0.0
2	0.0
1	0.3317896478989528
1	1.823318204572093
1	0.5007494009810771
2	0.7370470238212437
0	0.6306226850737036
1	1.4419198515895797
1	0.06494293487255764
0	0.8971602728342452
1	0.2666453534087633
0	0.0
1	0.31085885854886275
0	0.7960972291599575
2	0.8638841450825052
1	0.6093540628063583
1	0.44879931832785624
0	0.0
0	2.275749403085851
0	0.4956769633001161
0	0.5990212867698875
0	0.3464979407841775
0	0.6545862598964143
2	0.0
2	0.0
1	0.0
0	0.2363119222849297
1	0.030460290373694576
1	0.9788913125931915
1	0.11080611771360072
2	0.0
1	0.08594310816913353
0	0.9408064331973747
0	0.0
0	0.43882364475024893
0	0.3816938334102967
1	0.37312105576357757
1	0.0
0	0.0
0	0.9394563590722409
1	0.6320652998560493
0	1.0247315852932881
1	1.901337886398472
0	0.2914913283999162
1	0.0
0	0.0
1	0.19390408323312325
2	0.0
2	0.902473983352205
1	0.04085436788078023
0	0.4414009584181604
0	0.7129566864460937
0	1.5103416892045116
2	0.0
1	0.05160887810599191
0	0.12451382033729019
2	0.0
0	0.3813549143487519
2	0.0
2	0.2436026595422568
2	0.1660563674403165
0	0.8519894516645671
0	1.1646226561236546
2	0.02483661606990173
1	0.51603536459098
0	0.0
2	0.0
0	0.46788419961096683
2	0.0
0	0.7835769609834354
0	0.0
1	0.0
0	0.2564892655814216
0	0.0
2	0.0
1	0.7645182757388691
0	0.0
1	0.515845791309632
0	1.8449207892237287
1	0.5310232748611581
0	0.2362171287026199
0	0.01008259929029176
2	0.9704557308798347
0	0.0
2	0.6840514004953588
0	0.981229334810667
0	0.25867126100558413
0	0.0
1	0.0
1	0.0
0	0.8516410843541204
1	0.08078132466826471
1	0.0
1	0.2866206465651181
2	0.0
2	0.0
1	0.8954448489565603
1	0.0
2	0.0
2	0.0
0	0.4100798831370319
2	0.33646073177129454
2	0.0
1	0.2868817086644292
0	0.12413612845808941
1	1.1596440372051087
2	0.0
0	1.2108307492237076
2	0.8398665686472923
0	0.44593566085515224
1	0.09592579760754105
2	0.1713637507027037
2	0.0
2	0.0
2	0.0
1	0.0
0	0.12930493294458267
1	0.0
2	0.7452643287567632
0	0.9149062223670332
1	0.2090601415551523
1	0.10413114966193704
2	0.0
2	0.0
1	0.3627768561207293
1	0.17459247349342588
1	0.5679862613804658
2	0.0
2	0.723158099331234
0	1.664877683956105
1	0.0
1	0.0
2	0.0
1	0.589715919613012
0	1.4684011232184446
0	0.30605231921729303
2	0.0
1	0.21036698070775872
2	0.0
0	1.5175763411396639
2	0.3907912328852242
